IMO/LR/IHS No.,MMSI,Name of Ship,Built,Deadweight,Length,GT,Total HP Main Eng
9748368,205700000,LA STELLA,2016-09,"61,250",19.980,"34,830","11,230"
9252424,209032000,MARIA,2003-04,"76,015",225.000,"40,002","11,625"
9307229,209251000,PUSAN C,2006-09,"111,737",336.700,"108,069","93,160"
9285990,209550000,AMERICA,2004-11,"107,749",334.000,"90,645","93,119"
9604952,209786000,VENUS HORIZON,2012-02,"95,755",234.980,"50,647","17,607"
9296626,210073000,PEDHOULAS TRADER,2006-05,"82,214",228.990,"43,151","12,780"
9321897,210161000,NORDSPRING,2007-07,"46,269",246.860,"38,332","44,099"
9609706,210279000,WESTERN LUCREZIA,2013-01,"37,400",187.000,"22,668","10,469"
9393539,210998000,SEABOARD VALPARAISO,2009-04,"25,820",159.950,"19,128","9,259"
9193288,211311970,DALLAS EXPRESS,2000-01,"67,145",294.170,"54,437","54,438"
9193290,211327410,TOKYO EXPRESS,2000-05,"67,145",294.040,"54,465","54,438"
9193305,211331640,SEOUL EXPRESS,2000-06,"66,971",294.050,"54,465","54,438"
9193317,211335760,ROTTERDAM EXPRESS,2000-08,"66,975",294.030,"54,465","54,438"
9229831,211367460,YANTIAN EXPRESS,2002-04,"100,003",320.580,"88,493","93,323"
9294989,211693000,NORTHERN JULIE,2005-04,"108,180",332.410,"94,483","93,119"
9356294,212151000,CMA CGM THALASSA,2008-12,"131,938",347.480,"128,600","98,218"
9285988,212175000,EUROPE,2004-08,"101,612",334.000,"90,645","93,119"
9697973,212301000,THEBE,2014-10,"35,989",179.910,"23,433","8,701"
9305673,212347000,HYUNDAI TOKYO,2006-09,"80,059",303.830,"74,651","93,160"
9305661,212348000,HYUNDAI HONGKONG,2006-07,"80,102",303.830,"74,651","93,160"
9305659,212350000,HYUNDAI BUSAN,2006-06,"80,102",304.000,"74,651","93,160"
9305685,212351000,HYUNDAI SINGAPORE,2006-10,"85,250",303.830,"74,651","93,160"
9305647,212353000,HYUNDAI SHANGHAI,2006-04,"80,262",303.830,"74,651","93,160"
9281580,212522000,IOANNIS I,2006-04,"45,557",182.830,"27,207","12,889"
9393541,212669000,AAL GLADSTONE,2009-08,"25,733",159.860,"19,128","9,259"
9363364,212714000,YM VANCOUVER,2007-11,"50,632",260.038,"40,030","49,706"
9262546,215190000,CALEDONIA,2002-11,"35,079",188.270,"24,918","11,869"
9443059,215381000,EXPRESS BLACK SEA,2011-04,"44,012",222.540,"35,595","43,018"
9528392,215464000,MISS MARIAROSARIA,2011-08,"47,499",183.000,"29,814","12,889"
9276028,215572000,PAMIR,2004-04,"46,654",183.000,"29,327","12,878"
1000899,215606000,BE MINE,1991-08,0,40.350,310,"2,028"
9292149,215724000,VERMONT TRADER,2004-09,"67,698",294.080,"54,271","55,889"
9343730,218284000,KUALA LUMPUR EXPRESS,2008-04,"103,538",336.300,"93,811","93,323"
9461403,218400000,MSC LA SPEZIA,2010-10,"165,977",365.820,"153,115","98,218"
9491898,218818000,PATARA,2012-10,"12,755",182.930,"47,053","19,334"
9516753,218826000,POLYNESIA,2011-07,"23,301",175.410,"18,358","22,651"
9365805,218844000,CMA CGM IVANHOE,2008-12,"120,944",349.990,"111,249","93,323"
9365788,218846000,CMA CGM PELLEAS,2008-08,"120,854",349.990,"111,249","93,322"
9456771,219027000,MAERSK EINDHOVEN,2010-08,"148,723",366.460,"141,716","93,323"
9458092,219031000,MAERSK ESSEX,2011-07,"148,723",366.440,"141,716","93,323"
9456757,219033000,MAERSK EDINBURGH,2010-07,"148,723",366.460,"141,716","93,323"
9456769,219056000,MAERSK EMDEN,2010-07,"148,723",366.470,"141,716","65,261"
9458080,219155000,MAERSK EVORA,2011-06,"148,723",366.430,"141,716","93,323"
9448712,219289000,NORD GUARDIAN,2011-07,"50,420",183.215,"30,241","12,889"
9448724,219290000,NORD GAINER,2011-04,"50,281",183.210,"30,241","12,889"
9424120,219594000,HEDVIG BULKER,2011-03,"31,872",175.530,"19,812","9,300"
9692131,219602000,NORD SUPREME,2015-02,"49,552",183.000,"30,108","13,542"
9245756,220061000,CORNELIA MAERSK,2002-06,"104,600",346.980,"91,921","89,570"
9245768,220129000,COLUMBINE MAERSK,2002-09,"110,000",346.980,"91,921","89,570"
9245770,220164000,CLEMENTINE MAERSK,2002-11,"110,000",346.980,"91,921","89,570"
9260419,220187000,AXEL MAERSK,2003-03,"109,000",352.100,"93,496","85,704"
9260421,220199000,ANNA MAERSK,2003-05,"109,000",352.600,"93,496","85,704"
9260433,220206000,ARNOLD MAERSK,2003-09,"109,000",352.600,"93,496","85,697"
9260445,220221000,ARTHUR MAERSK,2003-11,"109,000",352.600,"93,496","85,704"
9260457,220245000,ADRIAN MAERSK,2004-04,"109,000",352.600,"93,496","85,704"
9302877,220379000,GUDRUN MAERSK,2005-05,"115,700",367.281,"98,648","93,323"
9302889,220397000,GRETE MAERSK,2005-08,"115,700",367.280,"98,648","93,323"
9302891,220413000,GUNVOR MAERSK,2005-10,"115,700",367.280,"98,648","93,323"
9320233,220414000,GJERTRUD MAERSK,2005-12,"115,700",367.000,"98,648","93,347"
9320245,220415000,GERD MAERSK,2006-02,"115,700",367.000,"98,648","93,347"
9320257,220416000,GEORG MAERSK,2006-04,"115,700",367.000,"98,648","93,347"
9290658,220560000,TORM REPUBLICAN,2006-03,"46,955",183.200,"29,242","11,665"
9290646,220565000,TORM KANSAS,2006-03,"46,922",183.200,"29,242","11,640"
9359002,220593000,GERNER MAERSK,2008-03,"115,993",366.890,"99,002","93,323"
9359014,220594000,GUNDE MAERSK,2008-05,"115,993",366.890,"99,002","93,323"
9359026,220595000,GUNHILDE MAERSK,2008-07,"115,993",366.890,"99,002","93,323"
9359038,220596000,GUSTAV MAERSK,2008-10,"115,993",366.890,"99,002","93,323"
9359040,220597000,GUTHORM MAERSK,2009-01,"115,993",366.890,"99,002","92,045"
9359052,220598000,GERDA MAERSK,2009-03,"116,100",366.890,"99,002","93,323"
9450600,228313800,CMA CGM FIGARO,2010-04,"109,021",334.040,"89,787","98,218"
9450624,228337900,CMA CGM DALILA,2011-04,"109,021",334.040,"89,787","98,218"
9299630,228338600,CMA CGM NABUCCO,2006-02,"101,810",334.000,"91,410","93,358"
9450648,228339600,CMA CGM ALMAVIVA,2011-04,"109,021",334.000,"89,787","98,218"
9299800,228342900,CMA CGM MEDEA,2006-05,"113,964",349.000,"107,711","93,323"
9299812,228348900,CMA CGM NORMA,2006-08,"113,909",349.000,"107,711","93,323"
9299628,228353600,CMA CGM OTELLO,2005-11,"101,818",334.000,"91,410","93,358"
9299654,228354600,CMA CGM RIGOLETTO,2006-09,"114,004",349.000,"107,711","93,282"
9525900,229006000,MALIK AL ASHTAR,2012-03,"145,527",366.040,"141,077","97,578"
9644184,229159000,SINOP,2013-01,"63,200",199.990,"35,812","11,285"
9625475,229213000,DOGAN,2013-10,"35,173",180.000,"23,638","9,109"
9644201,229219000,IZMIR,2013-04,"63,200",199.990,"35,812","11,285"
9646895,229534000,LA LANDRIAIS,2014-08,"40,481",179.990,"24,725","8,226"
9628180,229548000,VALENCE,2013-09,"110,692",299.950,"95,390","64,486"
9282613,229565000,PELAGIANI,2004-05,"35,313",175.600,"21,059","9,049"
9302762,229569000,NAVIOS TAURUS,2005-01,"76,596",224.940,"39,738","14,031"
9484479,229622000,MSC TRIESTE,2011-12,"154,663",365.810,"143,521","98,218"
9674725,229641000,HIGH DISCOVERY,2014-02,"45,999",183.000,"29,935","9,762"
9691814,229697000,HAKO,2014-06,"63,104",199.990,"35,873","11,285"
9702455,229710000,THALATTA,2015-04,"23,786",199.970,"75,283","21,155"
9702443,229711000,THERMOPYLAE,2015-01,"23,786",199.970,"75,283","21,155"
9674517,229726000,APL DANUBE,2014-06,"112,580",299.950,"95,263","64,486"
9302970,229740000,SEALOYALTY,2005-05,"106,468",243.070,"56,146","19,034"
9676606,229909000,EMMA OLDENDORFF,2014-10,"38,300",179.990,"25,431","8,239"
9674529,229934000,CMA CGM ELBE,2014-10,"112,576",299.950,"95,263","64,486"
9674531,229947000,CMA CGM LOIRE,2015-02,"112,729",299.950,"95,263","64,486"
9674555,229988000,CMA CGM TAGE,2015-03,"113,800",299.950,"95,263","64,486"
9674543,229989000,CMA CGM RHONE,2015-02,"113,800",299.950,"95,263","64,486"
9634658,229993000,SANTA LOUKIA,2015-01,"21,508",171.930,"16,889","17,784"
9626314,232005179,RESOLUTE BAY,2012-04,"36,798",186.400,"22,664","10,686"
8511275,232217000,OCEAN OBSERVER,1987-03,"1,598",80.420,"2,820","5,328"
9070474,235007790,ASIAN GLORY,1994-11,"13,363",184.100,"44,818","14,096"
9300386,235009240,EVER SHINE,2005-09,"78,693",299.990,"76,185","74,642"
9300398,235009850,EVER SIGMA,2005-11,"78,636",299.990,"75,246","74,642"
9300403,235010450,EVER SMART,2006-03,"78,716",299.990,"75,246","74,699"
9300415,235010710,EVER SMILE,2006-06,"78,796",299.990,"75,246","74,699"
9289910,235011050,MORNING MIDAS,2006-07,"12,249",182.800,"46,800","19,334"
9384942,235058697,ZENITH LEADER,2007-10,"22,602",199.940,"62,080","21,128"
9387281,235060303,ENERGY CENTAUR,2008-06,"74,995",228.160,"42,416","16,642"
9221097,235067987,COSCO SHANGHAI,2001-07,"69,192",280.000,"65,531","58,599"
9221085,235068051,COSCO HAMBURG,2001-10,"69,193",280.000,"65,531","58,604"
9453999,235076283,PARAMOUNT HYDRA,2011-01,"113,968",249.900,"62,851","19,415"
9463011,235082896,EDISON,2011-01,"141,448",366.000,"141,649","98,218"
9463023,235084298,ERVING,2011-03,"141,377",366.000,"141,649","98,218"
9493365,235086166,NOBLE ACE,2011-06,"18,946",199.970,"59,515","18,028"
8645806,235093018,CABLE ENTERPRISE,2001-10,"10,543",124.320,"9,017","11,988"
9595450,235093618,EVER LASTING,2012-08,"104,399",334.800,"98,882","76,233"
9595462,235093619,EVER LEADING,2012-09,"104,409",334.800,"98,882","76,233"
1011915,235093789,MY SECRET,2012-06,0,46.700,491,"2,720"
9604108,235098885,EVER LEARNED,2013-06,"104,286",334.800,"98,882","76,233"
9698305,235102465,CAPE CROSS,2014-08,"63,155",199.930,"35,872","11,285"
9604146,235102677,EVER LENIENT,2014-02,"104,103",334.800,"99,995","76,233"
